,ORI,DSN,STOP_DATE,SEQ_NO,REF_NO,EVENT_NO,SEX,RACE,AGE_CODE,GEO,STOP_LOCATION,VIOL_MOVING,VIOL_EQUIPMENT,VIOL_LICENSE,MOVING_SPEED,MOVING_LANE,MOVING_TAIL,MOVING_CMV,MOVING_SIGNAL,MOVING_OTHER,WARN_CITA_ISSUED,STOP_WARNING,STOP_CITATION,SEARCH_CONDUCT,DURATION_OF_SEARCH,CAUSE_CONSENT,CAUSE_DRG_ODOR,CAUSE_DOG_ALERT,CAUSE_PLN_VIEW,CAUSE_OFF_SFTY,CAUSE_INVNTRY,CAUSE_OTHER,CAUSE_INC_TO_ARR,SEARCHED_PERSON,SEARCHED_PROPERTY,CNTR_DISCOVERED,CNTR_DRUG_PAR,CNTR_CURRENCY,CNTR_WEAPON,CNTR_STLN_PROP,CNTR_OTHER,SEARCH_ARREST,CHRG_WAR_WAN,CHRG_DRUG_VIOL,CHRG_RESIST_ARR,CHRG_OFF_PERSON,CHRG_PROP_CRIME,CHRG_OTHER,CHRG_DWI,ENTER_DATE,ENTER_TIME,ENTER_ACID,LAST_UPDATE_DATE,LAST_UPDATE_TIME,LAST_UPDATE_ACID,SECOND_DSN,TIME_OF_STOP,RACE_BEFORE_STOP,RES_JURISDICTION,STOP_NO_ACTION,SEARCH_BOTH,CHRG_TRAFF_VIOL,VIOL_INVESTIGATIVE,STOP_OTHER,STATUS_CODE
0,MO0957300,516,2016-01-01 00:00:00,0,TA00000122,,M,B,B,,S,,E,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/5/2016,00.50.35,#EETJR1,,,,,1900-01-01 22:20:00,N,N,N,,,,,FIN
1,MO0957300,516,2016-01-01 00:00:00,1,TA00000123,,F,B,D,,S,M,,,S,,,,,,Y,W,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/5/2016,00.51.07,#EETJR1,,,,,1900-01-01 22:43:00,N,Y,,,,,,FIN
2,MO0957300,516,2016-01-01 00:00:00,2,TA00000124,,M,B,B,,C,M,,,S,,,,,,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/5/2016,00.51.37,#EETJR1,,,,,1900-01-01 23:10:00,N,N,,,,,,FIN
3,MO0957300,495,2016-01-01 00:00:00,0,TA00000138,,M,B,C,,C,,E,,,,,,,,Y,W,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/5/2016,00.05.37,#EETJR1,,,,,1900-01-01 19:34:00,N,Y,,,,,,FIN
4,MO0957300,506,2016-01-01 00:00:00,0,TA00000147,,F,W,D,,C,M,,,S,,,,,,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/5/2016,00.39.55,#EETJR1,,,,,1900-01-01 20:18:00,N,Y,,,,,,FIN
5,MO0957300,506,2016-01-01 00:00:00,1,TA00000148,,M,W,B,,C,M,,,S,,,,,,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/5/2016,00.40.49,#EETJR1,,,,,1900-01-01 20:03:00,N,N,,,,,,FIN
6,MO0957300,510,2016-01-01 00:00:00,0,TA00000467,,F,B,B,,S,,E,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/5/2016,00.32.36,#EETJR1,,,,,1900-01-01 21:43:00,N,N,N,,,,,FIN
7,MO0957300,510,2016-01-01 00:00:00,1,TA00000468,,M,B,B,,C,,E,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/5/2016,00.56.01,#EETJR1,,,,,1900-01-01 19:25:00,N,Y,N,,,,,FIN
8,MO0957300,510,2016-01-01 00:00:00,2,TA00000469,,F,B,D,,N,,,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/5/2016,00.56.35,#EETJR1,,,,,1900-01-01 20:35:00,N,Y,N,,,,,FIN
9,MO0957300,504,2016-01-01 00:00:00,0,TA00000595,,F,B,D,,C,M,,,S,,,,,,N,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/5/2016,00.29.57,#EETJR1,,,,,1900-01-01 10:00:00,N,Y,N,,,,,FIN
10,MO0957300,504,2016-01-01 00:00:00,1,TA00000596,,M,B,C,,C,,,,,,,,,,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/5/2016,00.30.50,#EETJR1,,,,,1900-01-01 07:57:00,N,N,,,,,,FIN
11,MO0957300,504,2016-01-01 00:00:00,2,TA00000597,,F,B,B,,C,,,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/5/2016,00.31.32,#EETJR1,,,,,1900-01-01 17:23:00,N,N,N,,,,,FIN
12,MO0957300,514,2016-01-01 00:00:00,0,TA00000661,,F,B,B,,C,,E,,,,,,,,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/4/2016,23.48.50,#EETJR1,,,,,1900-01-01 11:05:00,N,Y,,,,,,FIN
13,MO0957300,451,2016-01-02 00:00:00,0,TA00000843,,M,W,D,,N,M,,,S,,,,,,N,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/4/2016,23.45.42,#EETJR1,,,,,1900-01-01 16:30:00,N,Y,N,,,,,FIN
14,MO0957300,451,2016-01-02 00:00:00,1,TA00000844,,M,B,B,,N,M,,,S,,,,,,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/4/2016,23.46.23,#EETJR1,,,,,1900-01-01 16:40:00,N,Y,,,,,,FIN
15,MO0957300,493,2016-01-02 00:00:00,0,TA00000911,,F,B,B,,C,M,,,S,,,,,,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/5/2016,00.54.38,#EETJR1,,,,,1900-01-01 09:45:00,N,Y,,,,,,FIN
16,MO0957300,461,2016-01-02 00:00:00,0,TA00000924,,F,W,D,,N,M,,,S,,,,,,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/4/2016,23.36.37,#EETJR1,,,,,1900-01-01 19:57:00,N,N,,,,,,FIN
17,MO0957300,461,2016-01-02 00:00:00,1,TA00000925,,M,W,B,,C,,E,,,,,,,,Y,W,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/4/2016,23.58.09,#EETJR1,,,,,1900-01-01 01:07:00,N,Y,,,,,,FIN
18,MO0957300,464,2016-01-02 00:00:00,0,TA00000926,,M,B,B,,N,,,,,,,,,,Y,W,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/5/2016,00.53.45,#EETJR1,,,,,1900-01-01 19:40:00,N,Y,,,,I,,FIN
19,MO0957300,495,2016-01-02 00:00:00,0,TA00000935,,M,B,B,,N,M,,,,,,,,O,Y,W,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/4/2016,23.47.02,#EETJR1,,,,,1900-01-01 16:40:00,N,N,,,,,,FIN
20,MO0957300,400,2016-01-02 00:00:00,0,TA00001139,,M,B,B,,C,M,,,S,,,,,,Y,W,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/5/2016,00.24.20,#EETJR1,,,,,1900-01-01 19:53:00,N,N,,,,,,FIN
21,MO0957300,510,2016-01-02 00:00:00,0,TA00001430,,M,B,C,,C,,,,,,,,,,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/4/2016,23.37.32,#EETJR1,,,,,1900-01-01 19:05:00,N,N,,,,,,FIN
22,MO0957300,510,2016-01-02 00:00:00,1,TA00001431,,M,W,D,,N,,,,,,,,,,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/4/2016,23.38.01,#EETJR1,,,,,1900-01-01 20:20:00,N,N,,,,,,FIN
23,MO0957300,510,2016-01-02 00:00:00,2,TA00001432,,F,B,B,,O,,,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/5/2016,00.41.27,#EETJR1,,,,,1900-01-01 02:45:00,N,N,N,,,I,,FIN
24,MO0957300,510,2016-01-02 00:00:00,3,TA00001433,,M,B,B,,S,M,,,S,,,,,,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/5/2016,00.42.09,#EETJR1,,,,,1900-01-01 01:30:00,N,Y,,,,,,FIN
25,MO0957300,486,2016-01-02 00:00:00,0,TA00001546,,F,W,D,,C,M,,,,,,,,O,N,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/4/2016,23.38.29,#EETJR1,,,,,1900-01-01 13:50:00,N,N,N,,,,,FIN
26,MO0957300,490,2016-01-02 00:00:00,0,TA00001567,,M,H,D,,N,,,,,,,,,,Y,W,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/4/2016,23.41.27,#EETJR1,,,,,1900-01-01 16:00:00,N,N,,,,,,FIN
27,MO0957300,504,2016-01-02 00:00:00,0,TA00001640,,F,B,D,,C,M,,,,,,,,O,N,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/4/2016,23.43.32,#EETJR1,,,,,1900-01-01 10:20:00,Y,Y,N,,,,,FIN
28,MO0957300,504,2016-01-02 00:00:00,1,TA00001641,,M,B,B,,C,M,,,S,,,,,,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/4/2016,23.44.06,#EETJR1,,,,,1900-01-01 00:48:00,Y,Y,,,,,,FIN
29,MO0957300,504,2016-01-02 00:00:00,2,TA00001642,,M,B,C,,C,M,,,S,,,,,,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/4/2016,23.44.49,#EETJR1,,,,,1900-01-01 08:20:00,Y,N,,,,,,FIN
30,MO0957300,512,2016-01-02 00:00:00,0,TA00001748,,F,B,B,,C,,,,,,,,,,Y,W,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/4/2016,23.42.20,#EETJR1,,,,,1900-01-01 09:20:00,N,N,,,,I,,FIN
