ORI, DSN, STOP_DATE, TIME_OF_STOP, SEQ_NO, REF_NO, EVENT_NO, RACE_BEFORE_STOP, RES_JURISDICTION, SEX, RACE, AGE_CODE, GEO, NLCCODE, STOP_LOCATION, VIOL_INVESTIGATIVE, VIOL_EQUIPMENT, VIOL_LICENSE, VIOL_MOVING, MOVING_SPEED, MOVING_LANE, MOVING_TAIL, MOVING_CMV, MOVINGHAZEQUIPIND, MOVING_SIGNAL, MOVING_OTHER, WARN_CITA_ISSUED, STOP_WARNING, STOP_CITATION, STOP_NO_ACTION, STOP_OTHER, STOPARRESTIND, SEARCH_CONDUCT, SEARCH_BOTH, SEARCHED_PERSON, SEARCHED_PROPERTY, DURATION_OF_SEARCH, CAUSE_CONSENT, CAUSE_DRG_ODOR, CAUSE_DOG_ALERT, CAUSE_PLN_VIEW, CAUSE_OFF_SFTY, CAUSE_INVNTRY, CAUSE_OTHER, CAUSE_INC_TO_ARR, CNTR_DISCOVERED, CNTR_DRUG_PAR, CNTR_CURRENCY, CNTR_WEAPON, CNTR_STLN_PROP, CNTR_OTHER, SEARCH_ARREST, CHRG_WAR_WAN, CHRG_TRAFF_VIOL, CHRG_DRUG_VIOL, CHRG_RESIST_ARR, CHRG_OFF_PERSON, CHRG_PROP_CRIME, CHRG_OTHER, CHRG_DWI, DELETE_FLAG, ENTER_DATE, ENTER_TIME, ENTER_ACID, LAST_UPDATE_DATE, LAST_UPDATE_TIME, LAST_UPDATE_ACID, LAST_UPDATE_ACTION, DISTRICT, SECOND_DSN, STATUS_CODE,,,,,,,,,,,,,,,,,,,,
MO0957300,503,1/1/2018,1100,0,TA00802186,,N,Y,M,B,D,,,S,,,,M,S,,,,,,,N,,C,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/9/2018,10.46.57,#HAMJH2,1/28/2019,09.42.16,#DUNJM1,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,434,1/1/2018,1819,0,TA00802235,,N,N,M,W,B,,,C,,,L,,,,,,,,,Y,W,,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/9/2018,10.46.03,#HAMJH2,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,453,1/1/2018,1756,0,TA00802261,,N,Y,F,H,B,,,C,,E,,,,,,,,,,Y,W,,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/9/2018,10.49.10,#HAMJH2,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,518,1/1/2018,1820,0,TA00802444,,N,N,F,A,D,,,S,,E,,,,,,,,,,Y,W,,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/9/2018,10.47.38,#HAMJH2,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,518,1/1/2018,1347,1,TA00802445,,N,N,F,B,D,,,C,,E,,,,,,,,,,N,,,N,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/9/2018,10.48.23,#HAMJH2,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,434,1/2/2018,1749,0,TA00802856,,N,N,M,B,B,,,S,,,L,,,,,,,,,N,,,,O,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/3/2018,15.42.08,#DUNJM1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,434,1/2/2018,1710,1,TA00802857,,N,Y,F,B,C,,,C,,,L,,,,,,,,,Y,W,C,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/3/2018,15.43.53,#DUNJM1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,434,1/2/2018,1021,2,TA00802858,,N,Y,F,B,B,,,S,,,L,,,,,,,,,N,,,,O,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/3/2018,15.45.07,#DUNJM1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,453,1/2/2018,1431,0,TA00802890,,Y,Y,M,B,D,,,C,,,,M,,,,,,,O,Y,W,,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/3/2018,15.38.03,#DUNJM1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,453,1/2/2018,1540,1,TA00802891,,Y,Y,M,W,C,,,S,,,L,,,,,,,,,Y,,C,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/3/2018,15.39.05,#DUNJM1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,491,1/2/2018,1640,0,TA00803282,,N,N,M,W,D,,,N,,,L,,,,,,,,,Y,,C,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/3/2018,15.46.04,#DUNJM1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,518,1/2/2018,2050,0,TA00803310,,N,N,F,U,D,,,S,,E,,,,,,,,,,N,,,N,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/3/2018,15.15.47,#DUNJM1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,518,1/2/2018,1340,1,TA00803311,,N,N,F,W,C,,,S,I,E,,,,,,,,,,Y,W,,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/3/2018,15.47.54,#DUNJM1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,518,1/2/2018,6,2,TA00803312,,Y,N,M,B,B,,,C,I,,,,,,,,,,,N,,,,O,,Y,B,,,C,C,,,,,,,,,,,,,,N,,,,,,,,,,1/3/2018,15.49.25,#DUNJM1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,518,1/2/2018,915,3,TA00803313,,N,Y,M,B,D,,,C,,E,,,,,,,,,,Y,W,,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/3/2018,15.50.19,#DUNJM1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
