ORI, DSN, STOP_DATE, SEQ_NO, REF_NO, EVENT_NO, SEX, RACE, AGE_CODE, GEO, NLCCODE, STOP_LOCATION, VIOL_MOVING, VIOL_EQUIPMENT, VIOL_LICENSE, MOVING_SPEED, MOVING_LANE, MOVING_TAIL, MOVING_CMV, MOVINGHAZEQUIPIND, MOVING_SIGNAL, MOVING_OTHER, WARN_CITA_ISSUED, STOP_WARNING, STOP_CITATION, STOPARRESTIND, SEARCH_CONDUCT, DURATION_OF_SEARCH, CAUSE_CONSENT, CAUSE_DRG_ODOR, CAUSE_DOG_ALERT, CAUSE_PLN_VIEW, CAUSE_OFF_SFTY, CAUSE_INVNTRY, CAUSE_OTHER, CAUSE_INC_TO_ARR, SEARCHED_PERSON, SEARCHED_PROPERTY, CNTR_DISCOVERED, CNTR_DRUG_PAR, CNTR_CURRENCY, CNTR_WEAPON, CNTR_STLN_PROP, CNTR_OTHER, SEARCH_ARREST, CHRG_WAR_WAN, CHRG_DRUG_VIOL, CHRG_RESIST_ARR, CHRG_OFF_PERSON, CHRG_PROP_CRIME, CHRG_OTHER, CHRG_DWI, DELETE_FLAG, ENTER_DATE, ENTER_TIME, ENTER_ACID, LAST_UPDATE_DATE, LAST_UPDATE_TIME, LAST_UPDATE_ACID, LAST_UPDATE_ACTION, DISTRICT, SECOND_DSN, TIME_OF_STOP, RACE_BEFORE_STOP, RES_JURISDICTION, STOP_NO_ACTION, SEARCH_BOTH, CHRG_TRAFF_VIOL, VIOL_INVESTIGATIVE, STOP_OTHER, STATUS_CODE
MO0957300,514,1/3/2017,0,TA00393909,,M,B,B,,,S,,,,,,,,,,,N,,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,1/3/2017,20.11.37,#PARBA2,,,,,,,135,N,N,N,,,I,,FIN
MO0957300,515,1/3/2017,0,TA00393945,,F,W,D,,,S,M,,,S,,,,,,,Y,W,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,1/3/2017,21.31.40,#PARBA2,,,,,,,755,N,N,,,,,,FIN
MO0957300,515,1/3/2017,1,TA00393946,,M,B,D,,,S,M,,,S,,,,,,,Y,,C,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,1/3/2017,21.34.28,#PARBA2,,,,,,,850,N,Y,,,,,,FIN
MO0957300,515,1/3/2017,2,TA00393947,,M,B,D,,,S,M,,,S,,,,,,,Y,W,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,1/3/2017,21.35.25,#PARBA2,,,,,,,1340,N,Y,,,,,,FIN
MO0957300,515,1/3/2017,3,TA00393948,,M,W,D,,,S,M,,,S,,,,,,,Y,,C,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,1/3/2017,21.36.31,#PARBA2,,,,,,,1350,N,N,,,,,,FIN
MO0957300,453,1/3/2017,0,TA00394034,,F,B,B,,,C,,,,,,,,,,,Y,W,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,1/3/2017,20.12.20,#PARBA2,,,,,,,2045,N,Y,,,,I,,FIN
MO0957300,494,1/3/2017,0,TA00394099,,M,W,D,,,N,M,,,,,,,,,O,Y,W,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,1/3/2017,21.37.21,#PARBA2,,,,,,,1440,N,N,,,,,,FIN
MO0957300,494,1/3/2017,1,TA00394100,,F,W,D,,,N,M,,,,,,,,,O,Y,W,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,1/3/2017,21.38.18,#PARBA2,,,,,,,1059,N,Y,,,,,,FIN
MO0957300,494,1/3/2017,2,TA00394101,,F,W,D,,,N,M,,,S,,,,,,,Y,W,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,1/3/2017,21.39.35,#PARBA2,,,,,,,1045,N,Y,,,,,,FIN
MO0957300,494,1/3/2017,3,TA00394102,,F,W,C,,,N,M,,,S,,,,,,,Y,W,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,1/3/2017,21.40.38,#PARBA2,,,,,,,740,N,N,,,,,,FIN
